         1870596 function calls (1843851 primitive calls) in 34.555 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       38    0.000    0.000    0.000    0.000 artist.py:1109(set_zorder)
        3    0.000    0.000    0.000    0.000 __init__.py:3198(__init__)
       41    0.000    0.000    0.000    0.000 text.py:1098(set_fontsize)
      328    0.000    0.000    0.000    0.000 weakref.py:451(get)
        9    0.000    0.000    0.000    0.000 axis.py:419(_get_text1_transform)
      127    0.000    0.000    0.000    0.000 _parser.py:453(_uniq)
        3    0.000    0.000    0.000    0.000 legend_handler.py:340(_create_patch)
        1    0.000    0.000    0.000    0.000 _axes.py:123(set_title)
      170    0.000    0.000    0.000    0.000 colors.py:783(__copy__)
      139    0.000    0.000    0.000    0.000 core.py:1973(__eq__)
        1    0.000    0.000    0.000    0.000 actions.py:1(<module>)
      634    0.000    0.000    0.000    0.000 {built-in method time.time}
        1    0.000    0.000    0.000    0.000 __init__.py:592(matplotlib_fname)
      124    0.000    0.000    0.000    0.000 artist.py:1040(set_visible)
     1548    0.000    0.000    0.000    0.000 transforms.py:2129(get_matrix)
        7    0.000    0.000    0.000    0.000 Image.py:732(__array_interface__)
       36    0.000    0.000    0.000    0.000 transforms.py:302(xmin)
       32    0.000    0.000    0.000    0.000 __init__.py:671(__init__)
        2    0.000    0.000    0.000    0.000 _backend_tk.py:831(_Spacer)
      126    0.000    0.000    0.000    0.000 cbook.py:1377(is_math_text)
      698    0.000    0.000    0.000    0.000 ast.py:255(iter_fields)
      695    0.000    0.000    0.000    0.000 artist.py:298(axes)
     1802    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
       43    0.000    0.000    0.000    0.000 ipaddress.py:1889(__init__)
       29    0.000    0.000    0.000    0.000 pathlib.py:353(_select_from)
        1    0.000    0.000    0.000    0.000 gridspec.py:144(get_grid_positions)
    65/35    0.000    0.000    0.000    0.000 _base.py:992(get_yaxis_transform)
        1    0.000    0.000    0.000    0.000 ExifTags.py:305(GPS)
       49    0.000    0.000    0.000    0.000 pathlib.py:546(__fspath__)
       15    0.000    0.000    0.000    0.000 {method 'draw_text_image' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
        1    0.000    0.000    0.000    0.000 backend_bases.py:2793(NavigationToolbar2)
       27    0.000    0.000    0.000    0.000 artist.py:45(allow_rasterization)
       14    0.000    0.000    0.000    0.000 typing.py:1636(copy_with)
     1082    0.000    0.000    0.000    0.000 {built-in method builtins.abs}
        1    0.000    0.000    0.000    0.000 _base.py:3669(set_xlim)
       24    0.000    0.000    0.000    0.000 dtypes.py:66(_add_dtype_helper)
       61    0.000    0.000    0.000    0.000 enum.py:979(_find_data_type_)
        1    0.000    0.000    0.000    0.000 pathlib.py:281(_make_selector)
     1275    0.000    0.000    0.000    0.000 bezier.py:242(degree)
       11    0.000    0.000    0.000    0.000 core.py:1705(__call__)
        9    0.000    0.000    0.000    0.000 _base.py:940(get_xaxis_text1_transform)
       48    0.000    0.000    0.000    0.000 lines.py:737(set_transform)
       39    0.000    0.000    0.000    0.000 transforms.py:307(ymin)
        6    0.000    0.000    0.000    0.000 ticker.py:1655(nonsingular)
        3    0.000    0.000    0.000    0.000 patches.py:644(get_window_extent)
       24    0.000    0.000    0.000    0.000 contextlib.py:272(contextmanager)
       23    0.000    0.000    0.000    0.000 overrides.py:177(decorator)
        8    0.000    0.000    0.000    0.000 transforms.py:657(<listcomp>)
      142    0.000    0.000    0.000    0.000 font_manager.py:729(set_family)
        7    0.000    0.000    0.000    0.000 core.py:1453(__radd__)
       15    0.000    0.000    0.000    0.000 offsetbox.py:633(get_bbox)
        1    0.000    0.000    0.000    0.000 pathlib.py:349(__init__)
      259    0.000    0.000    0.000    0.000 core.py:587(filled)
       23    0.000    0.000    0.000    0.000 core.py:5165(__init__)
        2    0.000    0.000    0.000    0.000 dataclasses.py:588(_repr_fn)
        1    0.000    0.000    0.000    0.000 legend_handler.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:360(_get_scalar_type_map)
        1    0.000    0.000    0.000    0.000 patches.py:3152(ArrowStyle)
       18    0.000    0.000    0.000    0.000 __init__.py:546(_cycler)
       58    0.000    0.000    0.000    0.000 enum.py:772(__getattr__)
        8    0.000    0.000    0.000    0.000 transforms.py:658(<listcomp>)
        8    0.000    0.000    0.000    0.000 core.py:585(_setResultsName)
        1    0.000    0.000    0.000    0.000 isoparser.py:42(isoparser)
       50    0.000    0.000    0.000    0.000 _compiler.py:388(<listcomp>)
       18    0.000    0.000    0.000    0.000 fromnumeric.py:2100(clip)
        1    0.000    0.000    0.000    0.000 dviread.py:202(Dvi)
     1568    0.000    0.000    0.000    0.000 patches.py:811(rotation_point)
        2    0.000    0.000    0.000    0.000 ticker.py:2865(__init__)
        8    0.000    0.000    0.000    0.000 transforms.py:659(<listcomp>)
        1    0.000    0.000    0.000    0.000 pathlib.py:260(compile_pattern)
        1    0.000    0.000    0.000    0.000 transforms.py:211(BboxBase)
       19    0.000    0.000    0.000    0.000 _util.py:9(is_path)
       39    0.000    0.000    0.000    0.000 typing.py:350(_flatten_literal_params)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:371(<dictcomp>)
      202    0.000    0.000    0.000    0.000 <string>:2(__init__)
       18    0.000    0.000    0.000    0.000 cbook.py:110(_weak_or_strong_ref)
        1    0.000    0.000    0.000    0.000 transforms.py:84(TransformNode)
     1425    0.000    0.000    0.000    0.000 fromnumeric.py:195(_reshape_dispatcher)
       28    0.000    0.000    0.000    0.000 functools.py:518(decorating_function)
        3    0.000    0.000    0.000    0.000 _fontconfig_pattern.py:57(comma_separated)
       13    0.000    0.000    0.000    0.000 textwrap.py:470(indent)
      104    0.000    0.000    0.000    0.000 <frozen codecs>:319(decode)
       48    0.000    0.000    0.000    0.000 lines.py:1226(set_markerfacecolor)
      437    0.000    0.000    0.000    0.000 cbook.py:1903(_str_equal)
       45    0.000    0.000    0.000    0.000 PngImagePlugin.py:160(read)
        3    0.000    0.000    0.000    0.000 stride_tricks.py:546(<listcomp>)
      770    0.000    0.000    0.000    0.000 path.py:737(unit_rectangle)
    347/1    0.000    0.000    0.000    0.000 __config__.py:19(_cleanup)
        4    0.000    0.000    0.000    0.000 __init__.py:613(gen_candidates)
     1339    0.000    0.000    0.000    0.000 artist.py:1125(sticky_edges)
      605    0.000    0.000    0.000    0.000 _inspect.py:26(isfunction)
       36    0.000    0.000    0.000    0.000 transforms.py:312(xmax)
       48    0.000    0.000    0.000    0.000 lines.py:1128(set_linewidth)
       11    0.000    0.000    0.000    0.000 transforms.py:2776(get_transformed_points_and_affine)
     39/1    0.000    0.000    0.000    0.000 __config__.py:25(<dictcomp>)
      397    0.000    0.000    0.000    0.000 socket.py:83(<lambda>)
       65    0.000    0.000    0.000    0.000 results.py:449(__iadd__)
       45    0.000    0.000    0.000    0.000 typing.py:1054(__typing_subst__)
        1    0.000    0.000    0.000    0.000 axis3d.py:38(Axis)
       26    0.000    0.000    0.000    0.000 transforms.py:608(padded)
       88    0.000    0.000    0.000    0.000 text.py:1249(set_verticalalignment)
       32    0.000    0.000    0.000    0.000 <frozen _collections_abc>:941(update)
       64    0.000    0.000    0.000    0.000 font_manager.py:743(set_style)
        2    0.000    0.000    0.000    0.000 ticker.py:1997(__init__)
      519    0.000    0.000    0.000    0.000 enum.py:70(_is_internal_class)
        7    0.000    0.000    0.000    0.000 Image.py:3219(fromarray)
       90    0.000    0.000    0.000    0.000 enum.py:933(_check_for_existing_members_)
        6    0.000    0.000    0.000    0.000 transforms.py:789(frozen)
        1    0.000    0.000    0.000    0.000 ticker.py:2271(LogLocator)
       30    0.000    0.000    0.000    0.000 ipaddress.py:1282(__init__)
      130    0.000    0.000    0.000    0.000 colors.py:979(__init__)
       60    0.000    0.000    0.000    0.000 ticker.py:536(_format_maybe_minus_and_locale)
        9    0.000    0.000    0.000    0.000 axis.py:422(_get_text2_transform)
      571    0.000    0.000    0.000    0.000 backend_bases.py:914(set_foreground)
      189    0.000    0.000    0.000    0.000 shape_base.py:608(_column_stack_dispatcher)
      432    0.000    0.000    0.000    0.000 typing.py:1687(__eq__)
        3    0.000    0.000    0.000    0.000 histograms.py:678(histogram)
       15    0.000    0.000    0.000    0.000 {method 'draw_glyphs_to_bitmap' of 'matplotlib.ft2font.FT2Font' objects}
      465    0.000    0.000    0.000    0.000 {built-in method builtins.repr}
       12    0.000    0.000    0.000    0.000 typing.py:2071(__init_subclass__)
      396    0.000    0.000    0.000    0.000 socket.py:78(<lambda>)
       20    0.000    0.000    0.000    0.000 colors.py:1201(reversed)
      398    0.000    0.000    0.000    0.000 socket.py:88(<lambda>)
        1    0.000    0.000    0.000    0.000 _color_data.py:989(<dictcomp>)
       64    0.000    0.000    0.000    0.000 font_manager.py:756(set_variant)
        7    0.000    0.000    0.000    0.000 _backend_tk.py:898(add_tooltip)
        1    0.000    0.000    0.000    0.000 arraysetops.py:1(<module>)
      180    0.000    0.000    0.000    0.000 copy.py:264(<genexpr>)
       54    0.000    0.000    0.000    0.000 typing.py:1591(<genexpr>)
        1    0.000    0.000    0.000    0.000 patches.py:3889(__init__)
       12    0.000    0.000    0.000    0.000 dataclasses.py:723(_get_field)
      399    0.000    0.000    0.000    0.000 socket.py:93(<lambda>)
        1    0.000    0.000    0.000    0.000 _nested_sequence.py:1(<module>)
        8    0.000    0.000    0.000    0.000 Image.py:3151(frombuffer)
       18    0.000    0.000    0.000    0.000 __init__.py:1220(winfo_rgb)
      418    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
       18    0.000    0.000    0.000    0.000 stride_tricks.py:340(_broadcast_to)
       24    0.000    0.000    0.000    0.000 deprecation.py:190(finalize)
        2    0.000    0.000    0.000    0.000 ticker.py:2057(set_params)
        1    0.000    0.000    0.000    0.000 _polybase.py:1(<module>)
        1    0.000    0.000    0.000    0.000 axis.py:2434(_update_offset_text_position)
       26    0.000    0.000    0.000    0.000 core.py:921(__init__)
      226    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
        9    0.000    0.000    0.000    0.000 _base.py:966(get_xaxis_text2_transform)
        7    0.000    0.000    0.000    0.000 axis.py:476(_get_text1_transform)
        3    0.000    0.000    0.000    0.000 path.py:607(get_extents)
      862    0.000    0.000    0.000    0.000 {built-in method math.cos}
        2    0.000    0.000    0.000    0.000 dataclasses.py:624(_cmp_fn)
       13    0.000    0.000    0.000    0.000 core.py:8389(__init__)
       40    0.000    0.000    0.000    0.000 cbook.py:1748(_safe_first_finite)
        2    0.000    0.000    0.000    0.000 __init__.py:3063(__init__)
      497    0.000    0.000    0.000    0.000 typing.py:916(__eq__)
        6    0.000    0.000    0.000    0.000 offsetbox.py:389(__init__)
        2    0.000    0.000    0.000    0.000 _base.py:1077(get_position)
       18    0.000    0.000    0.000    0.000 __init__.py:226(_from_iter)
        1    0.000    0.000    0.000    0.000 _base.py:3847(set_ybound)
      169    0.000    0.000    0.000    0.000 core.py:2383(__new__)
      586    0.000    0.000    0.000    0.000 _inspect.py:41(iscode)
        1    0.000    0.000    0.000    0.000 __init__.py:556(get_configdir)
       88    0.000    0.000    0.000    0.000 text.py:1000(set_horizontalalignment)
      291    0.000    0.000    0.000    0.000 backend_bases.py:976(get_hatch_path)
      226    0.000    0.000    0.000    0.000 _parser.py:963(fix_flags)
       11    0.000    0.000    0.000    0.000 transforms.py:2763(_revalidate)
        1    0.000    0.000    0.000    0.000 utils.py:76(wrap)
     1297    0.000    0.000    0.000    0.000 typing.py:1381(<genexpr>)
        3    0.000    0.000    0.000    0.000 pathlib.py:909(home)
        2    0.000    0.000    0.000    0.000 _base.py:1518(_set_title_offset_trans)
       44    0.000    0.000    0.000    0.000 core.py:3063(_generateDefaultName)
      646    0.000    0.000    0.000    0.000 _parser.py:172(__setitem__)
        1    0.000    0.000    0.000    0.000 core.py:456(DebugActions)
       40    0.000    0.000    0.000    0.000 colors.py:1161(__init__)
       19    0.000    0.000    0.000    0.000 artist.py:24(_prevent_rasterization)
        1    0.000    0.000    0.000    0.000 _parser.py:58(_timelex)
      159    0.000    0.000    0.000    0.000 __init__.py:1303(_val_or_rc)
     2107    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
        7    0.000    0.000    0.000    0.000 _base.py:1020(get_yaxis_text1_transform)
       49    0.000    0.000    0.000    0.000 text.py:1217(set_rotation)
       34    0.000    0.000    0.000    0.000 transforms.py:2685(__init__)
        1    0.000    0.000    0.000    0.000 transforms.py:2116(IdentityTransform)
      449    0.000    0.000    0.000    0.000 <frozen posixpath>:41(_get_sep)
        1    0.000    0.000    0.000    0.000 backend_bases.py:1675(FigureCanvasBase)
       44    0.000    0.000    0.000    0.000 results.py:554(copy)
       43    0.000    0.000    0.000    0.000 functools.py:479(lru_cache)
       60    0.000    0.000    0.000    0.000 transforms.py:2914(_interval_contains_close)
       24    0.000    0.000    0.000    0.000 dviread.py:184(decorate)
        6    0.000    0.000    0.000    0.000 patches.py:2343(<listcomp>)
       50    0.000    0.000    0.000    0.000 _internal.py:872(_ufunc_doc_signature_formatter)
       26    0.000    0.000    0.000    0.000 getlimits.py:484(__new__)
        1    0.000    0.000    0.000    0.000 unicode.py:121(pyparsing_unicode)
       81    0.000    0.000    0.000    0.000 typing.py:942(_is_unpacked_typevartuple)
      287    0.000    0.000    0.000    0.000 transforms.py:1783(__array__)
        1    0.000    0.000    0.000    0.000 figure.py:123(__init__)
      933    0.000    0.000    0.000    0.000 __init__.py:78(<genexpr>)
      636    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
       13    0.000    0.000    0.000    0.000 core.py:8394(getdoc)
       20    0.000    0.000    0.000    0.000 <frozen _collections_abc>:78(_check_methods)
        7    0.000    0.000    0.000    0.000 core.py:5840(__add__)
        1    0.000    0.000    0.000    0.000 _adapters.py:1(<module>)
        1    0.000    0.000    0.000    0.000 common.py:437(<listcomp>)
       30    0.000    0.000    0.000    0.000 stride_tricks.py:416(_broadcast_shape)
      351    0.000    0.000    0.000    0.000 inspect.py:300(ismethod)
       41    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:164(_path_isdir)
      318    0.000    0.000    0.000    0.000 rcsetup.py:906(_convert_validator_spec)
        1    0.000    0.000    0.000    0.000 geo.py:413(LambertAxes)
        1    0.000    0.000    0.000    0.000 collections.py:27(Collection)
       18    0.000    0.000    0.000    0.000 transforms.py:1622(transform_path_non_affine)
      183    0.000    0.000    0.000    0.000 textwrap.py:482(prefixed_lines)
        7    0.000    0.000    0.000    0.000 Image.py:772(tobytes)
       65    0.000    0.000    0.000    0.000 inspect.py:2063(_signature_is_builtin)
      877    0.000    0.000    0.000    0.000 {built-in method math.radians}
       73    0.000    0.000    0.000    0.000 axis.py:771(get_transform)
       37    0.000    0.000    0.000    0.000 text.py:893(get_unitless_position)
      338    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:703(_validate_hash_pyc)
      165    0.000    0.000    0.000    0.000 rcsetup.py:151(validate_bool)
        1    0.000    0.000    0.000    0.000 __init__.py:575(get_cachedir)
        1    0.000    0.000    0.000    0.000 axis.py:43(Tick)
       34    0.000    0.000    0.000    0.000 _base.py:554(_axis_map)
        1    0.000    0.000    0.000    0.000 geo.py:294(HammerAxes)
       33    0.000    0.000    0.000    0.000 colors.py:504(<setcomp>)
       20    0.000    0.000    0.000    0.000 ipaddress.py:1183(_ip_int_from_string)
        4    0.000    0.000    0.000    0.000 axis.py:2305(setter)
       26    0.000    0.000    0.000    0.000 _ufunc_config.py:33(seterr)
      862    0.000    0.000    0.000    0.000 {built-in method math.sin}
        1    0.000    0.000    0.000    0.000 geo.py:246(AitoffAxes)
        1    0.000    0.000    0.000    0.000 geo.py:341(MollweideAxes)
       13    0.000    0.000    0.000    0.000 __init__.py:2455(pack_configure)
        1    0.000    0.000    0.000    0.000 hatch.py:1(<module>)
        6    0.000    0.000    0.000    0.000 enum.py:1514(__or__)
        7    0.000    0.000    0.000    0.000 axis.py:479(_get_text2_transform)
      490    0.000    0.000    0.000    0.000 {built-in method sys.intern}
        4    0.000    0.000    0.000    0.000 <frozen os>:1081(__subclasshook__)
      460    0.000    0.000    0.000    0.000 colors.py:355(<genexpr>)
        1    0.000    0.000    0.000    0.000 synchronize.py:121(_make_name)
       34    0.000    0.000    0.000    0.000 numeric.py:136(ones)
       30    0.000    0.000    0.000    0.000 __init__.py:1378(_fixupParents)
        1    0.000    0.000    0.000    0.000 exceptions.py:27(ParseBaseException)
       48    0.000    0.000    0.000    0.000 lines.py:1216(set_markeredgecolor)
       12    0.000    0.000    0.000    0.000 datetime.py:592(__new__)
        1    0.000    0.000    0.000    0.000 _exceptions.py:1(<module>)
      424    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:165(__init__)
        1    0.000    0.000    0.000    0.000 hermite.py:1(<module>)
      188    0.000    0.000    0.000    0.000 utils.py:108(__init__)
        1    0.000    0.000    0.000    0.000 BmpImagePlugin.py:1(<module>)
     1667    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
       28    0.000    0.000    0.000    0.000 ipaddress.py:1617(_ip_int_from_string)
       61    0.000    0.000    0.000    0.000 transforms.py:2265(get_affine)
       17    0.000    0.000    0.000    0.000 artist.py:998(set_alpha)
        1    0.000    0.000    0.000    0.000 ExifTags.py:360(LightSource)
       14    0.000    0.000    0.000    0.000 Image.py:2222(resize)
       66    0.000    0.000    0.000    0.000 __init__.py:102(_cnfmerge)
        1    0.000    0.000    0.000    0.000 core.py:3712(ParseExpression)
       82    0.000    0.000    0.000    0.000 scale.py:115(get_transform)
      291    0.000    0.000    0.000    0.000 backend_bases.py:859(set_antialiased)
        2    0.000    0.000    0.000    0.000 dataclasses.py:845(_hash_add)
       36    0.000    0.000    0.000    0.000 cbook.py:1787(sanitize_sequence)
        6    0.000    0.000    0.000    0.000 transforms.py:235(frozen)
      174    0.000    0.000    0.000    0.000 <frozen os>:756(encode)
        2    0.000    0.000    0.000    0.000 backend_bases.py:2001(_switch_canvas_and_return_print_method)
       11    0.000    0.000    0.000    0.000 transforms.py:2334(blended_transform_factory)
        7    0.000    0.000    0.000    0.000 _base.py:1046(get_yaxis_text2_transform)
      415    0.000    0.000    0.000    0.000 inspect.py:1762(_static_getmro)
        1    0.000    0.000    0.000    0.000 _base.py:3903(set_ylim)
        1    0.000    0.000    0.000    0.000 texmanager.py:1(<module>)
        7    0.000    0.000    0.000    0.000 spines.py:234(_adjust_location)
        1    0.000    0.000    0.000    0.000 rcsetup.py:108(<listcomp>)
       24    0.000    0.000    0.000    0.000 fromnumeric.py:3269(round)
        1    0.000    0.000    0.000    0.000 pathlib.py:981(resolve)
        1    0.000    0.000    0.000    0.000 einsumfunc.py:1(<module>)
      340    0.000    0.000    0.000    0.000 __init__.py:1734(isEnabledFor)
        4    0.000    0.000    0.000    0.000 histograms.py:360(_get_bin_edges)
        1    0.000    0.000    0.000    0.000 helpers.py:1031(<listcomp>)
       18    0.000    0.000    0.000    0.000 ticker.py:1925(scale_range)
        1    0.000    0.000    0.000    0.000 reduction.py:1(<module>)
        2    0.000    0.000    0.000    0.000 shape_base.py:139(atleast_3d)
     1077    0.000    0.000    0.000    0.000 path.py:223(codes)
        1    0.000    0.000    0.000    0.000 _base.py:2922(<listcomp>)
        1    0.000    0.000    0.000    0.000 core.py:6550(__new__)
       31    0.000    0.000    0.000    0.000 __init__.py:1447(__init__)
       46    0.000    0.000    0.000    0.000 backend_agg.py:42(get_hinting_flag)
       21    0.000    0.000    0.000    0.000 Image.py:1265(copy)
        1    0.000    0.000    0.000    0.000 _iotools.py:1(<module>)
        2    0.000    0.000    0.000    0.000 ticker.py:2036(_validate_steps)
      147    0.000    0.000    0.000    0.000 TiffTags.py:35(__new__)
     1879    0.000    0.000    0.000    0.000 __init__.py:851(<lambda>)
      226    0.000    0.000    0.000    0.000 _parser.py:77(__init__)
        2    0.000    0.000    0.000    0.000 dataclasses.py:638(_hash_fn)
      193    0.000    0.000    0.000    0.000 {method 'release' of '_multiprocessing.SemLock' objects}
      170    0.000    0.000    0.000    0.000 colors.py:689(__init__)
       11    0.000    0.000    0.000    0.000 lines.py:731(_get_transformed_path)
        2    0.000    0.000    0.000    0.000 typing.py:2982(__new__)
        1    0.000    0.000    0.000    0.000 patches.py:1303(Arrow)
       48    0.000    0.000    0.000    0.000 lines.py:1408(set_dash_capstyle)
        1    0.000    0.000    0.000    0.000 _base.py:876(_set_lim_and_transforms)
       25    0.000    0.000    0.000    0.000 <frozen _collections_abc>:878(__iter__)
      296    0.000    0.000    0.000    0.000 <frozen os>:760(decode)
       78    0.000    0.000    0.000    0.000 util.py:113(set_)
      320    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1568(<genexpr>)
      727    0.000    0.000    0.000    0.000 {method '__subclasses__' of 'type' objects}
        1    0.000    0.000    0.000    0.000 gzip.py:1(<module>)
       18    0.000    0.000    0.000    0.000 core.py:997(__init__)
       11    0.000    0.000    0.000    0.000 _backend_tk.py:741(_get_color)
        4    0.000    0.000    0.000    0.000 colors.py:1721(_make_norm_from_scale)
       13    0.000    0.000    0.000    0.000 _ufunc_config.py:430(__enter__)
       30    0.000    0.000    0.000    0.000 rcsetup.py:63(__init__)
       22    0.000    0.000    0.000    0.000 transforms.py:1843(frozen)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:94(_add_aliases)
        1    0.000    0.000    0.000    0.000 helper.py:1(<module>)
       11    0.000    0.000    0.000    0.000 functools.py:651(cache)
       14    0.000    0.000    0.000    0.000 typing.py:1040(__init__)
        1    0.000    0.000    0.000    0.000 lines.py:216(Line2D)
       31    0.000    0.000    0.000    0.000 _parser.py:274(getuntil)
      139    0.000    0.000    0.000    0.000 text.py:1206(set_y)
       38    0.000    0.000    0.000    0.000 getlimits.py:91(_float_to_float)
        1    0.000    0.000    0.000    0.000 tempfile.py:1(<module>)
      118    0.000    0.000    0.000    0.000 text.py:1195(set_x)
        1    0.000    0.000    0.000    0.000 contour.py:671(ContourSet)
        1    0.000    0.000    0.000    0.000 patches.py:4120(FancyArrowPatch)
        1    0.000    0.000    0.000    0.000 gridspec.py:1(<module>)
      202    0.000    0.000    0.000    0.000 text.py:1265(set_text)
        1    0.000    0.000    0.000    0.000 results.py:34(ParseResults)
        1    0.000    0.000    0.000    0.000 backend_managers.py:1(<module>)
      320    0.000    0.000    0.000    0.000 __init__.py:785(__iter__)
       36    0.000    0.000    0.000    0.000 dataclasses.py:664(_is_type)
        1    0.000    0.000    0.000    0.000 _triinterpolate.py:578(_ReducedHCT_Element)
       48    0.000    0.000    0.000    0.000 lines.py:1070(set_drawstyle)
        1    0.000    0.000    0.000    0.000 colors.py:78(<dictcomp>)
        1    0.000    0.000    0.000    0.000 patches.py:2365(BoxStyle)
       27    0.000    0.000    0.000    0.000 PngImagePlugin.py:200(crc)
       42    0.000    0.000    0.000    0.000 {built-in method builtins.round}
       18    0.000    0.000    0.000    0.000 fromnumeric.py:2421(all)
       60    0.000    0.000    0.000    0.000 ticker.py:246(fix_minus)
        1    0.000    0.000    0.000    0.000 stride_tricks.py:1(<module>)
        1    0.000    0.000    0.000    0.000 core.py:4481(ParseElementEnhance)
       11    0.000    0.000    0.000    0.000 lines.py:716(_transform_path)
        1    0.000    0.000    0.000    0.000 backend_macosx.py:1(<module>)
      797    0.000    0.000    0.000    0.000 path.py:254(should_simplify)
        9    0.000    0.000    0.000    0.000 _backend_tk.py:745(_is_dark)
        1    0.000    0.000    0.000    0.000 backend_tools.py:29(Cursors)
        3    0.000    0.000    0.000    0.000 pathlib.py:1377(expanduser)
        1    0.000    0.000    0.000    0.000 backend_bases.py:2847(__init__)
        9    0.000    0.000    0.000    0.000 markers.py:776(_set_tickdown)
        1    0.000    0.000    0.000    0.000 __init__.py:2357(_loadtk)
        3    0.000    0.000    0.000    0.000 offsetbox.py:571(__init__)
      143    0.000    0.000    0.000    0.000 types.py:164(__init__)
        1    0.000    0.000    0.000    0.000 _polybase.py:18(ABCPolyBase)
        1    0.000    0.000    0.000    0.000 _endian.py:1(<module>)
        4    0.000    0.000    0.000    0.000 text.py:239(_get_xy_display)
       47    0.000    0.000    0.000    0.000 ipaddress.py:533(_split_addr_prefix)
        1    0.000    0.000    0.000    0.000 unicode.py:99(identbodychars)
       61    0.000    0.000    0.000    0.000 results.py:210(__getitem__)
        1    0.000    0.000    0.000    0.000 legend.py:922(<listcomp>)
      339    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1097(__init__)
        6    0.000    0.000    0.000    0.000 backend_bases.py:2254(mpl_connect)
        1    0.000    0.000    0.000    0.000 streamplot.py:1(<module>)
        1    0.000    0.000    0.000    0.000 backend_bases.py:1035(TimerBase)
      188    0.000    0.000    0.000    0.000 utils.py:112(__format__)
      805    0.000    0.000    0.000    0.000 inspect.py:3015(parameters)
       63    0.000    0.000    0.000    0.000 pathlib.py:523(_format_parsed_parts)
        1    0.000    0.000    0.000    0.000 records.py:1(<module>)
       47    0.000    0.000    0.000    0.000 text.py:1320(set_usetex)
      188    0.000    0.000    0.000    0.000 std.py:167(colour)
       48    0.000    0.000    0.000    0.000 lines.py:1236(set_markerfacecoloralt)
      132    0.000    0.000    0.000    0.000 inspect.py:1783(_is_type)
       65    0.000    0.000    0.000    0.000 inspect.py:2426(_descriptor_get)
        4    0.000    0.000    0.000    0.000 __init__.py:1476(<dictcomp>)
      773    0.000    0.000    0.000    0.000 {built-in method sys.getrecursionlimit}
       34    0.000    0.000    0.000    0.000 _base.py:557(<dictcomp>)
      700    0.000    0.000    0.000    0.000 artist.py:930(get_rasterized)
       14    0.000    0.000    0.000    0.000 transforms.py:2748(__init__)
      700    0.000    0.000    0.000    0.000 artist.py:957(get_agg_filter)
        1    0.000    0.000    0.000    0.000 tempfile.py:154(__next__)
        1    0.000    0.000    0.000    0.000 histograms.py:1(<module>)
        1    0.000    0.000    0.000    0.000 <frozen importlib.util>:74(find_spec)
        1    0.000    0.000    0.000    0.000 rcsetup.py:36(__getattr__)
        9    0.000    0.000    0.000    0.000 pathlib.py:765(__truediv__)
       69    0.000    0.000    0.000    0.000 font_manager.py:769(set_weight)
        1    0.000    0.000    0.000    0.000 _adapters.py:42(CompatibilityFiles)
      104    0.000    0.000    0.000    0.000 {built-in method _codecs.utf_8_decode}
      797    0.000    0.000    0.000    0.000 path.py:242(simplify_threshold)
       37    0.000    0.000    0.000    0.000 Image.py:571(_new)
        1    0.000    0.000    0.000    0.000 _base.py:2927(<listcomp>)
       26    0.000    0.000    0.000    0.000 getlimits.py:612(tiny)
        3    0.000    0.000    0.000    0.000 transforms.py:1603(transform_path)
        3    0.000    0.000    0.000    0.000 transforms.py:1729(set)
       28    0.000    0.000    0.000    0.000 {method 'cumsum' of 'numpy.ndarray' objects}
      154    0.000    0.000    0.000    0.000 core.py:792(preParse)
        1    0.000    0.000    0.000    0.000 contextlib.py:78(inner)
        6    0.000    0.000    0.000    0.000 patches.py:2336(<listcomp>)
        1    0.000    0.000    0.000    0.000 ImageOps.py:1(<module>)
        1    0.000    0.000    0.000    0.000 histograms.py:470(histogram_bin_edges)
      145    0.000    0.000    0.000    0.000 <frozen os>:697(__iter__)
      183    0.000    0.000    0.000    0.000 typing.py:1720(_value_and_type_iter)
       28    0.000    0.000    0.000    0.000 pathlib.py:657(stem)
        4    0.000    0.000    0.000    0.000 ast.py:54(literal_eval)
     1340    0.000    0.000    0.000    0.000 copy.py:182(_deepcopy_atomic)
      816    0.000    0.000    0.000    0.000 font_manager.py:662(get_family)
       44    0.000    0.000    0.000    0.000 core.py:3946(<genexpr>)
        1    0.000    0.000    0.000    0.000 std.py:686(_decr_instances)
       86    0.000    0.000    0.000    0.000 pathlib.py:239(splitroot)
