         1870596 function calls (1843851 primitive calls) in 34.555 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.030    0.030 axes3d.py:1(<module>)
      226    0.001    0.000    0.029    0.000 _compiler.py:740(compile)
        1    0.000    0.000    0.027    0.027 __init__.py:2325(__init__)
     5564    0.002    0.000    0.027    0.000 __init__.py:173(search)
        1    0.000    0.000    0.027    0.027 legend.py:748(draw)
        1    0.027    0.027    0.027    0.027 {built-in method _tkinter.create}
      218    0.009    0.000    0.026    0.000 artist.py:1517(get_setters)
        1    0.000    0.000    0.026    0.026 colors.py:1(<module>)
      190    0.001    0.000    0.026    0.000 std.py:1150(__str__)
        1    0.000    0.000    0.025    0.025 _fontconfig_pattern.py:1(<module>)
        9    0.000    0.000    0.025    0.003 _base.py:732(__init_subclass__)
      190    0.006    0.000    0.024    0.000 std.py:464(format_meter)
        3    0.000    0.000    0.023    0.008 core.py:1(<module>)
     1294    0.001    0.000    0.023    0.000 patches.py:924(get_bbox)
      677    0.001    0.000    0.022    0.000 <frozen importlib._bootstrap_external>:1127(get_data)
    25320    0.009    0.000    0.021    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
        7    0.000    0.000    0.021    0.003 offsetbox.py:54(get_offset)
        7    0.000    0.000    0.020    0.003 offsetbox.py:291(get_offset)
        2    0.000    0.000    0.020    0.010 legend.py:731(_findoffset)
        2    0.000    0.000    0.020    0.010 legend.py:1161(_find_best_position)
        2    0.000    0.000    0.020    0.010 axis.py:1414(draw)
        2    0.001    0.000    0.019    0.010 legend.py:951(_auto_legend_data)
3561/2464    0.001    0.000    0.018    0.000 deprecation.py:292(wrapper)
      708    0.000    0.000    0.018    0.000 inspect.py:3261(signature)
      226    0.001    0.000    0.018    0.000 _parser.py:979(parse)
      708    0.000    0.000    0.018    0.000 inspect.py:3007(from_callable)
      260    0.001    0.000    0.018    0.000 patches.py:738(__init__)
      136    0.000    0.000    0.017    0.000 _docstring.py:66(__call__)
  843/708    0.003    0.000    0.017    0.000 inspect.py:2435(_signature_from_callable)
       30    0.003    0.000    0.017    0.001 __init__.py:851(_rc_params_in_file)
       13    0.000    0.000    0.017    0.001 __init__.py:108(import_module)
       13    0.000    0.000    0.017    0.001 <frozen importlib._bootstrap>:1192(_gcd_import)
  126/115    0.000    0.000    0.017    0.000 _docstring.py:107(__call__)
  496/226    0.001    0.000    0.017    0.000 _parser.py:456(_parse_sub)
     1085    0.001    0.000    0.017    0.000 transforms.py:1482(transform)
      272    0.001    0.000    0.017    0.000 artist.py:769(set_clip_path)
        9    0.000    0.000    0.017    0.002 axis.py:1294(_update_ticks)
      265    0.001    0.000    0.016    0.000 patches.py:48(__init__)
      265    0.002    0.000    0.016    0.000 patches.py:574(_draw_paths_with_artist_properties)
      566    0.001    0.000    0.016    0.000 utils.py:378(disp_len)
  560/254    0.007    0.000    0.016    0.000 _parser.py:516(_parse)
      273    0.001    0.000    0.016    0.000 transforms.py:1428(__sub__)
      812    0.016    0.000    0.016    0.000 {method 'read' of '_io.BufferedReader' objects}
        1    0.000    0.000    0.016    0.016 font_manager.py:1(<module>)
        1    0.000    0.000    0.015    0.015 art3d.py:1(<module>)
2886/1345    0.006    0.000    0.015    0.000 transforms.py:2450(get_affine)
